Indicator,2017,Country ISO3,id
Inadequate Supply of Infrastructure,3.0,ZAF,3277.0
Insufficient Capacity to Innovate,2.8,ZAF,
Tax Regulations,2.8,ZAF,3283.0
Poor Public Health,2.3,ZAF,3288.0
Foreign Currency Regulations,2.2,ZAF,3285.0
Inefficient Government Bureaucracy,15.2,ESP,3279.0
Tax Rates,15.1,ESP,3282.0
Restrictive Labor Regulations,13.5,ESP,3289.0
Insufficient Capacity to Innovate,11.3,ESP,
Access to Financing,9.6,ESP,3275.0
Policy Instability,7.4,ESP,3280.0
Inadequately Educated Workforce,6.9,ESP,3278.0
Tax Regulations,5.4,ESP,3283.0
Corruption,5.0,ESP,3276.0
Government Instability/Coups,3.4,ESP,3286.0
Poor Work Ethic in Labor Force,3.2,ESP,3281.0
Inadequate Supply of Infrastructure,2.0,ESP,3277.0
Inflation,1.0,ESP,3287.0
Poor Public Health,0.9,ESP,3288.0
Foreign Currency Regulations,0.1,ESP,3285.0
Crime and Theft,0.0,ESP,3284.0
Inefficient Government Bureaucracy,11.8,LKA,3279.0
Poor Work Ethic in Labor Force,11.1,LKA,3281.0
Policy Instability,9.5,LKA,3280.0
Restrictive Labor Regulations,9.2,LKA,3289.0
Government Instability/Coups,7.9,LKA,3286.0
Tax Rates,7.1,LKA,3282.0
Access to Financing,6.7,LKA,3275.0
Inadequate Supply of Infrastructure,6.6,LKA,3277.0
Inflation,5.5,LKA,3287.0
Corruption,5.3,LKA,3276.0
Inadequately Educated Workforce,5.2,LKA,3278.0
Tax Regulations,5.1,LKA,3283.0
Insufficient Capacity to Innovate,4.2,LKA,
Foreign Currency Regulations,3.2,LKA,3285.0
Poor Public Health,0.8,LKA,3288.0
Crime and Theft,0.7,LKA,3284.0
Inefficient Government Bureaucracy,16.1,SWZ,3279.0
Corruption,11.3,SWZ,3276.0
Access to Financing,10.4,SWZ,3275.0
Inadequate Supply of Infrastructure,9.8,SWZ,3277.0
Insufficient Capacity to Innovate,8.4,SWZ,
Restrictive Labor Regulations,7.9,SWZ,3289.0
Tax Regulations,7.0,SWZ,3283.0
Poor Work Ethic in Labor Force,5.4,SWZ,3281.0
Tax Rates,4.2,SWZ,3282.0
Inadequately Educated Workforce,4.0,SWZ,3278.0
Foreign Currency Regulations,3.9,SWZ,3285.0
Poor Public Health,3.4,SWZ,3288.0
Government Instability/Coups,3.4,SWZ,3286.0
Crime and Theft,2.3,SWZ,3284.0
Policy Instability,2.0,SWZ,3280.0
Inflation,0.5,SWZ,3287.0
Tax Rates,22.6,SWE,3282.0
Restrictive Labor Regulations,14.8,SWE,3289.0
Tax Regulations,13.4,SWE,3283.0
Inadequately Educated Workforce,9.3,SWE,3278.0
Inefficient Government Bureaucracy,6.9,SWE,3279.0
Government Instability/Coups,5.2,SWE,3286.0
Inadequate Supply of Infrastructure,4.9,SWE,3277.0
Access to Financing,4.9,SWE,3275.0
Poor Work Ethic in Labor Force,3.8,SWE,3281.0
Insufficient Capacity to Innovate,3.5,SWE,
Policy Instability,3.0,SWE,3280.0
Inflation,2.8,SWE,3287.0
Corruption,1.6,SWE,3276.0
Crime and Theft,1.4,SWE,3284.0
Poor Public Health,1.0,SWE,3288.0
Foreign Currency Regulations,1.0,SWE,3285.0
Inefficient Government Bureaucracy,19.0,CHE,3279.0
Restrictive Labor Regulations,18.0,CHE,3289.0
Inadequately Educated Workforce,13.7,CHE,3278.0
Tax Regulations,10.1,CHE,3283.0
Insufficient Capacity to Innovate,9.9,CHE,
Access to Financing,9.7,CHE,3275.0
Tax Rates,6.8,CHE,3282.0
Policy Instability,5.6,CHE,3280.0
Foreign Currency Regulations,3.7,CHE,3285.0
Poor Work Ethic in Labor Force,2.7,CHE,3281.0
Corruption,0.6,CHE,3276.0
Poor Public Health,0.2,CHE,3288.0
Inadequate Supply of Infrastructure,0.2,CHE,3277.0
Inflation,0.0,CHE,3287.0
Government Instability/Coups,0.0,CHE,3286.0
Crime and Theft,0.0,CHE,3284.0
Policy Instability,20.2,TWN,3280.0
Restrictive Labor Regulations,15.7,TWN,3289.0
Insufficient Capacity to Innovate,15.4,TWN,
Inefficient Government Bureaucracy,14.6,TWN,3279.0
Tax Rates,7.4,TWN,3282.0
Tax Regulations,6.9,TWN,3283.0
Government Instability/Coups,6.1,TWN,3286.0
Inadequately Educated Workforce,2.9,TWN,3278.0
Inflation,2.6,TWN,3287.0
Inadequate Supply of Infrastructure,2.3,TWN,3277.0
Poor Work Ethic in Labor Force,2.1,TWN,3281.0
Foreign Currency Regulations,2.0,TWN,3285.0
Access to Financing,1.2,TWN,3275.0
Crime and Theft,0.2,TWN,3284.0
Corruption,0.2,TWN,3276.0
Poor Public Health,0.0,TWN,3288.0
Foreign Currency Regulations,21.4,TJK,3285.0
Inflation,17.9,TJK,3287.0
Tax Rates,15.7,TJK,3282.0
Access to Financing,14.4,TJK,3275.0
Tax Regulations,11.1,TJK,3283.0
Poor Public Health,5.2,TJK,3288.0
Corruption,3.6,TJK,3276.0
Inadequately Educated Workforce,2.9,TJK,3278.0
Inadequate Supply of Infrastructure,2.1,TJK,3277.0
Insufficient Capacity to Innovate,1.7,TJK,
Poor Work Ethic in Labor Force,1.4,TJK,3281.0
Inefficient Government Bureaucracy,1.1,TJK,3279.0
Policy Instability,0.9,TJK,3280.0
Crime and Theft,0.6,TJK,3284.0
Restrictive Labor Regulations,0.0,TJK,3289.0
Government Instability/Coups,0.0,TJK,3286.0
Access to Financing,19.5,TZA,3275.0
Tax Rates,16.1,TZA,3282.0
Inadequate Supply of Infrastructure,11.5,TZA,3277.0
Inflation,8.8,TZA,3287.0
Corruption,8.2,TZA,3276.0
Tax Regulations,5.4,TZA,3283.0
Inefficient Government Bureaucracy,5.2,TZA,3279.0
Policy Instability,4.5,TZA,3280.0
Poor Work Ethic in Labor Force,4.4,TZA,3281.0
Insufficient Capacity to Innovate,3.5,TZA,
Inadequately Educated Workforce,3.4,TZA,3278.0
Crime and Theft,2.8,TZA,3284.0
Poor Public Health,1.9,TZA,3288.0
Government Instability/Coups,1.9,TZA,3286.0
Foreign Currency Regulations,1.6,TZA,3285.0
Restrictive Labor Regulations,1.3,TZA,3289.0
Government Instability/Coups,13.6,THA,3286.0
Inefficient Government Bureaucracy,12.1,THA,3279.0
Policy Instability,12.0,THA,3280.0
Insufficient Capacity to Innovate,10.5,THA,
Corruption,10.1,THA,3276.0
Inadequately Educated Workforce,9.7,THA,3278.0
Tax Regulations,5.4,THA,3283.0
Inadequate Supply of Infrastructure,5.4,THA,3277.0
Access to Financing,4.8,THA,3275.0
Poor Work Ethic in Labor Force,4.1,THA,3281.0
Tax Rates,3.9,THA,3282.0
Restrictive Labor Regulations,3.4,THA,3289.0
Inflation,2.1,THA,3287.0
Foreign Currency Regulations,2.1,THA,3285.0
Crime and Theft,0.7,THA,3284.0
Poor Public Health,0.4,THA,3288.0
Poor Work Ethic in Labor Force,15.9,TTO,3281.0
Inefficient Government Bureaucracy,13.3,TTO,3279.0
Corruption,12.2,TTO,3276.0
Foreign Currency Regulations,11.4,TTO,3285.0
Crime and Theft,11.4,TTO,3284.0
Access to Financing,7.1,TTO,3275.0
Insufficient Capacity to Innovate,5.0,TTO,
Inadequately Educated Workforce,4.7,TTO,3278.0
Restrictive Labor Regulations,3.6,TTO,3289.0
Inadequate Supply of Infrastructure,3.2,TTO,3277.0
Tax Rates,2.9,TTO,3282.0
Policy Instability,2.8,TTO,3280.0
Inflation,2.0,TTO,3287.0
Government Instability/Coups,2.0,TTO,3286.0
Tax Regulations,1.3,TTO,3283.0
Poor Public Health,1.1,TTO,3288.0
Inefficient Government Bureaucracy,18.1,TUN,3279.0
Corruption,11.6,TUN,3276.0
Policy Instability,10.0,TUN,3280.0
Restrictive Labor Regulations,8.1,TUN,3289.0
Government Instability/Coups,7.5,TUN,3286.0
Access to Financing,6.6,TUN,3275.0
Inadequate Supply of Infrastructure,6.3,TUN,3277.0
Tax Rates,5.8,TUN,3282.0
Foreign Currency Regulations,5.8,TUN,3285.0
Tax Regulations,4.7,TUN,3283.0
Insufficient Capacity to Innovate,4.2,TUN,
Poor Work Ethic in Labor Force,3.9,TUN,3281.0
Inadequately Educated Workforce,3.6,TUN,3278.0
Inflation,3.2,TUN,3287.0
Crime and Theft,0.4,TUN,3284.0
Poor Public Health,0.3,TUN,3288.0
Policy Instability,13.7,TUR,3280.0
Access to Financing,11.8,TUR,3275.0
Inadequately Educated Workforce,11.7,TUR,3278.0
Foreign Currency Regulations,9.1,TUR,3285.0
Inefficient Government Bureaucracy,8.9,TUR,3279.0
Inflation,7.9,TUR,3287.0
Tax Rates,7.4,TUR,3282.0
Government Instability/Coups,7.3,TUR,3286.0
Inadequate Supply of Infrastructure,6.2,TUR,3277.0
Insufficient Capacity to Innovate,5.3,TUR,
Tax Regulations,4.0,TUR,3283.0
Poor Work Ethic in Labor Force,2.9,TUR,3281.0
Restrictive Labor Regulations,2.4,TUR,3289.0
Poor Public Health,0.8,TUR,3288.0
Crime and Theft,0.3,TUR,3284.0
Corruption,0.3,TUR,3276.0
Tax Rates,16.4,UGA,3282.0
Corruption,14.7,UGA,3276.0
Access to Financing,14.1,UGA,3275.0
Inadequate Supply of Infrastructure,13.0,UGA,3277.0
Inflation,12.7,UGA,3287.0
Inefficient Government Bureaucracy,5.2,UGA,3279.0
Poor Work Ethic in Labor Force,4.6,UGA,3281.0
Tax Regulations,4.2,UGA,3283.0
Inadequately Educated Workforce,2.9,UGA,3278.0
Policy Instability,2.8,UGA,3280.0
Foreign Currency Regulations,2.8,UGA,3285.0
Crime and Theft,2.3,UGA,3284.0
Poor Public Health,1.8,UGA,3288.0
Insufficient Capacity to Innovate,1.3,UGA,
Government Instability/Coups,0.7,UGA,3286.0
Restrictive Labor Regulations,0.6,UGA,3289.0
Inflation,16.3,UKR,3287.0
Corruption,13.9,UKR,3276.0
Policy Instability,12.1,UKR,3280.0
Tax Rates,9.7,UKR,3282.0
Tax Regulations,9.4,UKR,3283.0
Government Instability/Coups,8.9,UKR,3286.0
Access to Financing,7.0,UKR,3275.0
Inefficient Government Bureaucracy,6.9,UKR,3279.0
Foreign Currency Regulations,4.3,UKR,3285.0
Inadequately Educated Workforce,2.5,UKR,3278.0
Poor Work Ethic in Labor Force,1.9,UKR,3281.0
Insufficient Capacity to Innovate,1.8,UKR,
Restrictive Labor Regulations,1.7,UKR,3289.0
Inadequate Supply of Infrastructure,1.4,UKR,3277.0
Crime and Theft,1.2,UKR,3284.0
Poor Public Health,1.0,UKR,3288.0
Access to Financing,17.0,ARE,3275.0
Inflation,14.4,ARE,3287.0
Inadequately Educated Workforce,14.0,ARE,3278.0
Restrictive Labor Regulations,12.6,ARE,3289.0
Poor Work Ethic in Labor Force,8.6,ARE,3281.0
Insufficient Capacity to Innovate,7.8,ARE,
Foreign Currency Regulations,4.8,ARE,3285.0
Inefficient Government Bureaucracy,4.1,ARE,3279.0
Tax Rates,3.9,ARE,3282.0
Inadequate Supply of Infrastructure,2.8,ARE,3277.0
Poor Public Health,2.5,ARE,3288.0
Policy Instability,2.4,ARE,3280.0
Corruption,2.0,ARE,3276.0
Tax Regulations,1.9,ARE,3283.0
Crime and Theft,1.4,ARE,3284.0
Government Instability/Coups,0.0,ARE,3286.0
Tax Regulations,11.9,GBR,3283.0
Policy Instability,11.3,GBR,3280.0
Tax Rates,10.6,GBR,3282.0
Inefficient Government Bureaucracy,10.5,GBR,3279.0
Inadequately Educated Workforce,10.3,GBR,3278.0
Inadequate Supply of Infrastructure,9.3,GBR,3277.0
Access to Financing,8.6,GBR,3275.0
Insufficient Capacity to Innovate,8.4,GBR,
Restrictive Labor Regulations,6.3,GBR,3289.0
Poor Work Ethic in Labor Force,5.6,GBR,3281.0
Government Instability/Coups,3.5,GBR,3286.0
Crime and Theft,1.2,GBR,3284.0
Poor Public Health,1.0,GBR,3288.0
Inflation,0.9,GBR,3287.0
Foreign Currency Regulations,0.6,GBR,3285.0
Corruption,0.0,GBR,3276.0
Tax Rates,13.0,USA,3282.0
Tax Regulations,9.3,USA,3283.0
Inflation,7.5,USA,3287.0
Restrictive Labor Regulations,7.4,USA,3289.0
Corruption,7.0,USA,3276.0
Access to Financing,7.0,USA,3275.0
Inefficient Government Bureaucracy,6.0,USA,3279.0
Inadequate Supply of Infrastructure,5.5,USA,3277.0
Policy Instability,5.3,USA,3280.0
Foreign Currency Regulations,5.2,USA,3285.0
Poor Work Ethic in Labor Force,5.1,USA,3281.0
Crime and Theft,4.9,USA,3284.0
Insufficient Capacity to Innovate,4.5,USA,
Inadequately Educated Workforce,4.4,USA,3278.0
Government Instability/Coups,4.3,USA,3286.0
Poor Public Health,3.8,USA,3288.0
Tax Rates,21.3,URY,3282.0
Inefficient Government Bureaucracy,17.1,URY,3279.0
Restrictive Labor Regulations,16.8,URY,3289.0
Inadequately Educated Workforce,10.7,URY,3278.0
Inadequate Supply of Infrastructure,9.8,URY,3277.0
Insufficient Capacity to Innovate,6.0,URY,
Access to Financing,4.5,URY,3275.0
Inflation,3.4,URY,3287.0
Poor Work Ethic in Labor Force,3.3,URY,3281.0
Tax Regulations,2.4,URY,3283.0
Policy Instability,1.7,URY,3280.0
Crime and Theft,1.7,URY,3284.0
Government Instability/Coups,0.5,URY,3286.0
Poor Public Health,0.4,URY,3288.0
Corruption,0.4,URY,3276.0
Foreign Currency Regulations,0.1,URY,3285.0
Inflation,20.4,VEN,3287.0
Foreign Currency Regulations,20.4,VEN,3285.0
Policy Instability,11.1,VEN,3280.0
Government Instability/Coups,10.6,VEN,3286.0
Corruption,9.5,VEN,3276.0
Inefficient Government Bureaucracy,7.7,VEN,3279.0
Crime and Theft,7.5,VEN,3284.0
Restrictive Labor Regulations,7.4,VEN,3289.0
Inadequate Supply of Infrastructure,2.1,VEN,3277.0
Tax Rates,1.3,VEN,3282.0
Access to Financing,1.1,VEN,3275.0
Tax Regulations,0.6,VEN,3283.0
Poor Public Health,0.1,VEN,3288.0
Inadequately Educated Workforce,0.1,VEN,3278.0
Poor Work Ethic in Labor Force,0.0,VEN,3281.0
Insufficient Capacity to Innovate,0.0,VEN,
Access to Financing,12.3,VNM,3275.0
Inadequately Educated Workforce,10.4,VNM,3278.0
Corruption,10.0,VNM,3276.0
Poor Work Ethic in Labor Force,9.5,VNM,3281.0
Tax Regulations,8.7,VNM,3283.0
Policy Instability,8.4,VNM,3280.0
Inadequate Supply of Infrastructure,8.3,VNM,3277.0
Tax Rates,6.5,VNM,3282.0
Inflation,5.0,VNM,3287.0
Inefficient Government Bureaucracy,4.5,VNM,3279.0
Foreign Currency Regulations,3.9,VNM,3285.0
Crime and Theft,3.9,VNM,3284.0
Government Instability/Coups,3.0,VNM,3286.0
Restrictive Labor Regulations,2.7,VNM,3289.0
Insufficient Capacity to Innovate,2.5,VNM,
Poor Public Health,0.5,VNM,3288.0
Government Instability/Coups,15.9,YEM,3286.0
Access to Financing,15.6,YEM,3275.0
Policy Instability,14.5,YEM,3280.0
Corruption,10.5,YEM,3276.0
Inadequate Supply of Infrastructure,8.8,YEM,3277.0
Foreign Currency Regulations,7.7,YEM,3285.0
Restrictive Labor Regulations,4.1,YEM,3289.0
Inadequately Educated Workforce,3.9,YEM,3278.0
Poor Work Ethic in Labor Force,3.8,YEM,3281.0
Crime and Theft,3.7,YEM,3284.0
Inflation,2.8,YEM,3287.0
Inefficient Government Bureaucracy,2.8,YEM,3279.0
Tax Regulations,1.9,YEM,3283.0
Tax Rates,1.8,YEM,3282.0
Insufficient Capacity to Innovate,1.6,YEM,
Poor Public Health,0.5,YEM,3288.0
Access to Financing,20.3,ZMB,3275.0
Corruption,13.6,ZMB,3276.0
Tax Rates,13.4,ZMB,3282.0
Poor Work Ethic in Labor Force,7.7,ZMB,3281.0
Policy Instability,6.9,ZMB,3280.0
Inflation,6.9,ZMB,3287.0
Inefficient Government Bureaucracy,5.2,ZMB,3279.0
Inadequate Supply of Infrastructure,5.2,ZMB,3277.0
Foreign Currency Regulations,4.3,ZMB,3285.0
Insufficient Capacity to Innovate,3.6,ZMB,
Inadequately Educated Workforce,3.2,ZMB,3278.0
Tax Regulations,2.4,ZMB,3283.0
Crime and Theft,2.3,ZMB,3284.0
Government Instability/Coups,2.2,ZMB,3286.0
Restrictive Labor Regulations,2.1,ZMB,3289.0
Poor Public Health,0.7,ZMB,3288.0
Policy Instability,19.3,ZWE,3280.0
Foreign Currency Regulations,15.9,ZWE,3285.0
Inefficient Government Bureaucracy,13.6,ZWE,3279.0
Access to Financing,10.5,ZWE,3275.0
Corruption,9.2,ZWE,3276.0
Government Instability/Coups,8.8,ZWE,3286.0
Inadequate Supply of Infrastructure,8.3,ZWE,3277.0
Tax Rates,4.6,ZWE,3282.0
Restrictive Labor Regulations,4.4,ZWE,3289.0
Tax Regulations,4.1,ZWE,3283.0
Inflation,0.8,ZWE,3287.0
Insufficient Capacity to Innovate,0.3,ZWE,
Poor Public Health,0.2,ZWE,3288.0
Poor Work Ethic in Labor Force,0.0,ZWE,3281.0
Inadequately Educated Workforce,0.0,ZWE,3278.0
Crime and Theft,0.0,ZWE,3284.0
